Breast Reconstruction,Radiation Treatment: Consult,Nerve Block,CT scan: Chest,Arthorcentesis,Cardiovascular: Electrophysiology,X-ray: Abdomen/GI,Cardiovascular: Echocardiography,Hysterectomy,Cesarean Section with complications,Colonoscopy,CVC Insertion,Coronary Bypass,Lesion Removal,Radiation Treatment: Delivery,Radiation Treatment: Simulations & Film,Spinal injection,Nuclear Medicine: Musculoskeletal,CT scan: Spine,Mastectomy,X-ray: Chest,Cardiovascular: Catheterization,Carpal Tunnel,Cesarean Section without complications,X-ray: Spine,Blood Transfusion,Ultrasound,Tonsillectomy,X-ray: Head and Neck,Nuclear Medicine: Endocrine,MRI with contrast: Extremities,X-ray: Extremities,Spinal Fusion,MRI: Spine,Hysteroscopy,Spinal laminectomy,Mammography,Nuclear Medicine: GI,Chemotherapy: IV infusion,MRI with contrast: Spine,Central Line,MRI: Head and Neck,Radiation Treatment: Guidance,Radiation Treatment: Dosimetry,Radiation Treatment: Devices,CT scan with contrast: Abdomen/GI,Cataract,Radiation Treatment: IMRT,Spinal Tap,Nuclear Medicine: Cardiovascular,Gallbladder,CT scan: Head and Neck,Hip Replacement,Cardiovascular: Mobile Heart Monitoring,Upper Endoscopy,MRI: Extremities,Cystoscopy Lithotripsy,Hernia Repair,Bone Study,MRI with contrast: Abdomen/GI,Knee Arthroscopy,Thyroidectomy,Bowel Removal,CT scan with contrast: Head and Neck,CT scan: Abdomen/GI,Ultrasound: Obstetrical,Cardiovascular: Electrocardiography Stress Test,CT scan with contrast: Chest,PTCA,Chemotherapy: Injection,Newborn care without complications,Breast Biopsy,CT scan: Extremities,Newborn care with complications,ORIF,Abdominal Drainage,Cardiovascular: Electrocardiography,Knee Replacement,MRI with contrast: Head and Neck,Big Toe Surgery
,611.0,,,,,255.0,2078.0,,,2179.0,,,,591.0,858.0,,,,,290.0,,3483.0,,397.0,,573.0,,,,,149.0,,1929.0,,,291.0,,401.0,,,,,1116.0,1142.0,2575.0,,3348.0,,,11075.0,,,,2786.0,1491.0,15135.0,11997.0,356.0,,,,,1986.0,974.0,204.0,,990.0,,131.0,8569.0,,,,,,77.0,,2705.0,
,447.0,,468.0,931.0,,230.0,1595.0,15233.0,,2939.0,6704.0,,5572.0,744.0,694.0,1655.0,1384.0,468.0,13659.0,233.0,,4402.0,13876.0,299.0,,588.0,5434.0,,,,233.0,,1138.0,6397.0,,344.0,1388.0,,,,,,1214.0,1214.0,1447.0,,1934.0,,4613.0,10683.0,468.0,,379.0,3127.0,1138.0,12108.0,7904.0,400.0,,7304.0,,42290.0,986.0,840.0,452.0,813.0,986.0,,,10355.0,3864.0,,23361.0,,,231.0,34009.0,1891.0,
,,2887.0,1408.0,,,211.0,1635.0,,,3556.0,,,,,,,,,,241.0,,,,284.0,,532.0,,,,,241.0,,,,,319.0,,,,,,,,,3011.0,,,,,,1032.0,,1341.0,3554.0,,9389.0,6594.0,422.0,,6107.0,,,,2280.0,753.0,,,,,10378.0,3573.0,,,,,248.0,,,
,,,,,48813.0,186.0,1273.0,11985.0,15733.0,3437.0,,63294.0,3778.0,,,,,405.0,,186.0,10022.0,,11444.0,297.0,,416.0,6599.0,,,,186.0,36701.0,1019.0,,15174.0,301.0,1016.0,504.0,2633.0,48628.0,835.0,,,,1062.0,,,17129.0,3042.0,11131.0,433.0,,278.0,3672.0,835.0,,8465.0,185.0,,7315.0,12222.0,,1435.0,586.0,469.0,471.0,723.0,33526.0,376.0,2360.0,,570.0,10511.0,30091.0,,133.0,,1387.0,7315.0
,432.0,,496.0,,40627.0,230.0,1312.0,16018.0,23488.0,3394.0,,125304.0,,550.0,405.0,,1082.0,496.0,,257.0,7772.0,5694.0,18489.0,303.0,20022.0,517.0,6242.0,143.0,1085.0,,223.0,57891.0,1763.0,8212.0,16951.0,299.0,1238.0,331.0,,28054.0,,255.0,2567.0,456.0,1825.0,,1405.0,22504.0,3336.0,11353.0,496.0,38713.0,402.0,3612.0,1207.0,10314.0,12951.0,432.0,1856.0,6638.0,16109.0,38524.0,1045.0,835.0,314.0,486.0,1144.0,49811.0,127.0,9260.0,,496.0,4430.0,32983.0,760.0,208.0,36844.0,2004.0,
,817.0,,476.0,946.0,42101.0,226.0,1620.0,14337.0,20046.0,2926.0,7349.0,92792.0,,755.0,705.0,1588.0,1406.0,476.0,13875.0,236.0,10777.0,,13983.0,289.0,27253.0,536.0,,229.0,1406.0,,238.0,73396.0,1302.0,7257.0,14420.0,351.0,1406.0,,,28648.0,1156.0,,1970.0,1174.0,1470.0,,2137.0,25457.0,4570.0,11127.0,476.0,39156.0,385.0,3151.0,1156.0,,8472.0,422.0,1921.0,,16916.0,40578.0,1001.0,846.0,536.0,813.0,1001.0,43951.0,,3164.0,3621.0,476.0,11001.0,37345.0,1716.0,236.0,38755.0,1921.0,
,,,,,,,1980.0,17821.0,18021.0,2073.0,4173.0,93455.0,,,,,,,,189.0,13914.0,,12296.0,164.0,,443.0,,,,,189.0,62554.0,1873.0,8366.0,,,1843.0,,,,1354.0,,,,998.0,,,,4544.0,16490.0,461.0,32785.0,374.0,2746.0,970.0,,10661.0,,,9821.0,,40180.0,,714.0,,1433.0,818.0,39243.0,,2769.0,,,11193.0,,2844.0,229.0,32785.0,,9821.0
,,2201.0,342.0,,,166.0,1184.0,10415.0,,2341.0,,,,,,,947.0,,,143.0,,3920.0,,223.0,,432.0,,178.0,839.0,1065.0,166.0,,853.0,4692.0,,281.0,997.0,189.0,,,905.0,,,,1019.0,4911.0,,,1616.0,,171.0,,,2455.0,791.0,9602.0,6999.0,260.0,,6450.0,,,,748.0,357.0,,720.0,37926.0,154.0,9237.0,1730.0,354.0,,,,181.0,32593.0,1669.0,
,,,477.0,,,223.0,1273.0,14578.0,20090.0,3185.0,,,,,,,,,,257.0,,,16385.0,302.0,,468.0,6262.0,,,2567.0,225.0,,1158.0,7210.0,,307.0,1238.0,321.0,,,1160.0,,,,1475.0,4992.0,,,3186.0,12751.0,476.0,,680.0,3319.0,1158.0,9240.0,12075.0,426.0,,8058.0,,,1005.0,812.0,619.0,486.0,1002.0,,162.0,8843.0,,,4655.0,,,202.0,,1927.0,
,328.0,,343.0,,,186.0,1273.0,12218.0,15733.0,2299.0,,,,593.0,168.0,,1016.0,,,186.0,,,11402.0,307.0,,371.0,,,,,186.0,,835.0,6541.0,,301.0,,,,,835.0,,985.0,891.0,1062.0,,1544.0,,,12218.0,324.0,,477.0,2822.0,835.0,10213.0,10442.0,307.0,1387.0,7315.0,,,,586.0,419.0,469.0,723.0,,,1888.0,3162.0,551.0,10666.0,,1474.0,171.0,22500.0,1387.0,6421.0
,,,775.0,1085.0,,251.0,1807.0,11481.0,20596.0,3640.0,7086.0,,,,,1311.0,1152.0,1315.0,13270.0,273.0,11671.0,4469.0,14053.0,310.0,,425.0,4986.0,221.0,908.0,2239.0,258.0,,1767.0,9217.0,,376.0,1409.0,450.0,2355.0,,1622.0,,,,1774.0,4452.0,,,3406.0,13451.0,554.0,40588.0,931.0,3697.0,1396.0,11605.0,9398.0,400.0,2383.0,9855.0,,,1286.0,963.0,470.0,584.0,1439.0,42908.0,,2997.0,3298.0,922.0,4863.0,,1430.0,198.0,42341.0,2329.0,9656.0
,,211.0,403.0,320.0,,39.0,1419.0,14791.0,16067.0,3397.0,,,,,,,663.0,,,50.0,,7871.0,12802.0,71.0,,240.0,,64.0,,,71.0,,731.0,8457.0,,266.0,932.0,,,,892.0,,,,642.0,,,,2242.0,14671.0,298.0,31680.0,1058.0,3626.0,507.0,,10656.0,89.0,,11729.0,,,484.0,350.0,232.0,654.0,487.0,,,2198.0,2121.0,388.0,2325.0,,,202.0,31437.0,1078.0,11100.0
,,,,,,,,28129.0,25287.0,23142.0,,111108.0,,,,,,,,,,,,,,,,,,,,61662.0,,,,,,302.0,,34743.0,,,,,,,,21910.0,,,,46003.0,,22150.0,,,24836.0,,,,,41099.0,,,,,,36720.0,,,,,,33550.0,,,44406.0,,
18993.0,,,292.0,,,58.0,1423.0,13738.0,15595.0,3190.0,,,6118.0,,,,504.0,273.0,,41.0,4521.0,5130.0,15855.0,68.0,,201.0,6886.0,57.0,813.0,850.0,58.0,,351.0,8054.0,,221.0,936.0,,,,356.0,,,,564.0,8147.0,,,1247.0,10905.0,312.0,,426.0,2989.0,386.0,9073.0,8099.0,81.0,847.0,7051.0,,41672.0,601.0,269.0,187.0,283.0,436.0,,,9400.0,3163.0,292.0,3276.0,,,186.0,29406.0,579.0,8083.0
,,1205.0,242.0,693.0,,49.0,1354.0,13069.0,18417.0,1000.0,,,,,,,633.0,242.0,,40.0,,4501.0,13279.0,59.0,,195.0,5253.0,84.0,690.0,709.0,60.0,48098.0,346.0,4900.0,11434.0,167.0,736.0,,721.0,,304.0,,,,492.0,5825.0,,,1120.0,7811.0,239.0,37117.0,362.0,,331.0,,5629.0,69.0,,5459.0,,,502.0,230.0,235.0,321.0,315.0,,,1534.0,3045.0,250.0,3473.0,24340.0,,221.0,37117.0,679.0,5048.0
,,,,,,251.0,870.0,11179.0,,3472.0,,,,,,,,,,256.0,,,,292.0,,509.0,,,,,251.0,,,11439.0,,,,,,,,,,,,,,,,11395.0,,,,3580.0,,,11125.0,,,8439.0,,,,,319.0,,,,,3734.0,,,,32520.0,,220.0,,,
16151.0,469.0,,,,57677.0,410.0,910.0,15670.0,23027.0,3456.0,7937.0,104532.0,3957.0,604.0,602.0,1842.0,,,9638.0,254.0,10813.0,5850.0,16629.0,392.0,26753.0,466.0,5325.0,,,,242.0,67336.0,1902.0,9653.0,12547.0,,,549.0,,31347.0,,673.0,1273.0,918.0,,6641.0,1804.0,20404.0,,9365.0,,33348.0,,3506.0,,13812.0,10633.0,,,8274.0,15210.0,40422.0,,,343.0,895.0,,49495.0,,3020.0,,,3987.0,26930.0,1460.0,205.0,33991.0,3509.0,
,561.0,1247.0,725.0,,,267.0,2054.0,18802.0,20860.0,2707.0,,,,563.0,212.0,,1372.0,,,303.0,13623.0,2000.0,15996.0,375.0,,644.0,7745.0,292.0,,,292.0,,1763.0,6898.0,,300.0,1774.0,749.0,,,2332.0,,1380.0,1027.0,2241.0,,1573.0,,4181.0,15731.0,689.0,42426.0,481.0,2653.0,1763.0,,10699.0,324.0,2928.0,6468.0,,,1553.0,1237.0,561.0,790.0,1676.0,,222.0,2080.0,5034.0,1355.0,3655.0,,,214.0,40009.0,2928.0,
,,,,,,216.0,1780.0,19260.0,,1716.0,,,,,,,,,,162.0,,,,285.0,,424.0,4937.0,,,,163.0,,1716.0,,,277.0,1099.0,622.0,,,,,,,3592.0,,,,4842.0,12360.0,1098.0,,,3083.0,1669.0,,9762.0,339.0,,9430.0,,,,,297.0,,1765.0,,,1773.0,,,,,,260.0,,,
,,,1221.0,,,176.0,1434.0,,,2289.0,,,,,,,,,,205.0,,,,256.0,,348.0,,,,1613.0,178.0,,1682.0,,,419.0,1175.0,,,,1658.0,,,,2365.0,,,,3255.0,12211.0,924.0,,251.0,2606.0,971.0,,8583.0,478.0,,,,,1431.0,2365.0,430.0,,1476.0,,,927.0,,,,,,153.0,,3156.0,
,302.0,,316.0,630.0,38336.0,166.0,1173.0,11146.0,13986.0,2947.0,4212.0,,,547.0,469.0,,,,,166.0,6944.0,,9543.0,214.0,,418.0,,,936.0,1278.0,168.0,43251.0,770.0,5197.0,10630.0,277.0,921.0,645.0,,,770.0,,821.0,821.0,947.0,,,,3020.0,,273.0,25443.0,338.0,2245.0,745.0,9245.0,7350.0,283.0,1278.0,6478.0,,,666.0,533.0,423.0,572.0,666.0,56024.0,,6686.0,2899.0,306.0,3056.0,,,174.0,25443.0,1278.0,7810.0
,321.0,,352.0,1775.0,,177.0,1215.0,19489.0,18258.0,2194.0,5729.0,,,566.0,850.0,,1453.0,,,177.0,7428.0,,15614.0,293.0,,448.0,,,,1371.0,177.0,,821.0,5866.0,,329.0,969.0,,,,804.0,,1327.0,850.0,1126.0,5087.0,1473.0,,,11659.0,334.0,34346.0,391.0,3214.0,886.0,9889.0,11659.0,293.0,1667.0,8640.0,,,1124.0,622.0,488.0,,690.0,,,2101.0,2982.0,528.0,11409.0,,,163.0,34346.0,1324.0,
,473.0,2316.0,460.0,920.0,,188.0,1443.0,16447.0,,2605.0,9097.0,,,672.0,231.0,1660.0,1102.0,462.0,13913.0,230.0,6042.0,,14154.0,277.0,,324.0,,,,,192.0,67848.0,,8300.0,17199.0,233.0,1399.0,457.0,,,,,1487.0,1010.0,1307.0,,2408.0,,3132.0,13848.0,677.0,30808.0,447.0,2580.0,,12775.0,9042.0,349.0,,,,,820.0,1236.0,398.0,603.0,1096.0,,,1534.0,3260.0,1118.0,11113.0,,,185.0,31283.0,,
,,1217.0,233.0,727.0,,42.0,1416.0,14784.0,,1000.0,,,,,,1261.0,514.0,343.0,,35.0,,,,55.0,,195.0,5459.0,57.0,,,47.0,,461.0,,,163.0,754.0,,721.0,,366.0,,,,483.0,5670.0,,,1654.0,7195.0,257.0,34159.0,386.0,2896.0,330.0,,6772.0,69.0,869.0,5022.0,,,314.0,230.0,163.0,282.0,460.0,,,,3559.0,250.0,,,,221.0,36101.0,495.0,5695.0
14263.0,,1680.0,343.0,678.0,,168.0,1128.0,13937.0,16411.0,2299.0,6862.0,,4869.0,,,,1016.0,565.0,,186.0,7784.0,,10735.0,218.0,,371.0,4937.0,,1093.0,,186.0,30560.0,835.0,5946.0,11680.0,301.0,1016.0,,,,835.0,,,,1062.0,,,,2774.0,10730.0,343.0,22500.0,278.0,3187.0,835.0,10363.0,8432.0,307.0,1754.0,7486.0,,31232.0,723.0,586.0,338.0,471.0,738.0,42439.0,,2506.0,2876.0,343.0,10325.0,,1474.0,157.0,22500.0,1387.0,6531.0
,,,,,,,,18264.0,20088.0,,,,,,,,,,,,,,14195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43620.0,,3631.0,,,6371.0,46229.0,,,37595.0,,
,,3063.0,,,38063.0,,1531.0,21684.0,,1735.0,5707.0,,6655.0,,,,1294.0,,,232.0,9914.0,,17675.0,,,455.0,6485.0,,1294.0,,,,,7465.0,16338.0,,1294.0,,,,,,,,,,,,4311.0,13410.0,,,366.0,2899.0,,13198.0,9479.0,,,,15561.0,,,,,567.0,,,,2579.0,,,16595.0,,1586.0,222.0,,,
20482.0,,,545.0,638.0,,60.0,,14430.0,17684.0,1281.0,1567.0,,4936.0,,,669.0,914.0,531.0,12020.0,71.0,,,11315.0,99.0,18909.0,313.0,4403.0,81.0,1194.0,1529.0,102.0,,624.0,4862.0,,501.0,1763.0,,1596.0,25246.0,658.0,,,,925.0,,,,1776.0,9340.0,393.0,32172.0,,1182.0,708.0,7864.0,6486.0,88.0,1600.0,7308.0,12733.0,39428.0,700.0,474.0,375.0,286.0,703.0,,,1084.0,1944.0,543.0,20072.0,25081.0,1929.0,36.0,32172.0,1106.0,
,,,,,,228.0,1607.0,,,,,,,,,,,,,227.0,,,,227.0,,522.0,,,,,227.0,,,,,304.0,,,,,,,,,2625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,336.0,1209.0,,,3177.0,,,,,,,,,,252.0,,,,350.0,,527.0,,,,,220.0,,1718.0,,,300.0,1671.0,314.0,,,,,,,3437.0,,,,3169.0,,1170.0,,698.0,3438.0,1609.0,,,442.0,,,,,,,369.0,,,,,7968.0,,,,,,198.0,,2958.0,
,,,,,,206.0,1613.0,,,4155.0,,,,,,,,,,214.0,,,,257.0,,451.0,,,,,153.0,,2086.0,,,430.0,,530.0,,,,,,,2093.0,,,,,,,,412.0,4045.0,1154.0,,12884.0,158.0,,8941.0,,,1808.0,1389.0,599.0,,1998.0,,,9076.0,,,,,,35.0,,1334.0,
,,,,,,,,,,2093.0,,,,,,,,,,155.0,,,,245.0,,398.0,,,,,239.0,,1819.0,,,124.0,,,,,,,,,2629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0,,,
,,,,,,,1295.0,,,4097.0,,,,,,,,,,232.0,,,,333.0,,419.0,,,,,223.0,,2013.0,,,250.0,,,,,,,,,,,,,,,,,968.0,,1525.0,,,,,,,,,,360.0,,,,,,,,,,,205.0,,,
,,,1374.0,,,,1616.0,,,2974.0,,,,,,,,,,221.0,,,,241.0,,412.0,,,,,221.0,,2284.0,,,252.0,,436.0,,,,,,,2572.0,,,,,,1107.0,,,,2135.0,,,438.0,,,,,1515.0,2333.0,378.0,,,,,,,,,,,,,2744.0,
,,,,,,366.0,1264.0,,,3202.0,,,,,,,,,,218.0,,,,375.0,,424.0,,,,,218.0,,2025.0,,,211.0,,418.0,,,,,,,2575.0,,,,,,988.0,,,3198.0,1989.0,,,,,,,,,,388.0,,,,,,,,,,,140.0,,2770.0,
,,,683.0,,,93.0,,,,2755.0,,,,,,,,,12044.0,223.0,,,,176.0,,359.0,,,,,158.0,,1151.0,,,348.0,,,,,837.0,,,,2584.0,,,,,13333.0,373.0,,,3328.0,917.0,,7699.0,328.0,,,,,,2340.0,264.0,,,,,,,,,,,135.0,,,
,,,,,,222.0,1523.0,,,3137.0,,,,,,,,,,275.0,,,,278.0,,523.0,,,,,242.0,,1743.0,,,268.0,,,,,,,,,3090.0,,,,,,,,,,1794.0,,,,,,,,,,378.0,,,,,,,,,,,200.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4409.0,,,,,,,,,,304.0,,,,344.0,,605.0,,,,,255.0,,,,,282.0,,,,,,,,,,,,,,,,,,,1553.0,,,,,,,,,,,,,,,,,,,,,298.0,,,
,,,,,,205.0,1673.0,,,3008.0,,,,,,,,,,214.0,,,,252.0,,489.0,,,,,200.0,,1994.0,,,293.0,,,,,,,,,2704.0,,,,,,,,660.0,3370.0,,,,,,,,,,,,,,,,,,,,,,97.0,,,
,,,,,,251.0,862.0,,,2547.0,,,,,,,,,,188.0,,,,337.0,,498.0,,,,,256.0,,2117.0,,,,,,,,,,,,,,,,,,953.0,,,3847.0,1789.0,,,440.0,,,,,,,264.0,,,,,,,,,,,220.0,,,
,,,1364.0,,,217.0,1246.0,,,3473.0,,,,,,,,1391.0,,252.0,,,,294.0,,516.0,,,,,225.0,,1709.0,,,300.0,,314.0,,,1799.0,,,,3412.0,4588.0,,,,,1208.0,,692.0,3603.0,1592.0,,10863.0,447.0,,,,,1413.0,,416.0,,1752.0,,115.0,9024.0,,,,,,198.0,,2813.0,
,,,,,,,,,,2666.0,,,,,,,,,,227.0,,,,348.0,,435.0,,,,,268.0,,2350.0,,,421.0,,576.0,,,,,,,3398.0,,,,,,,,,2943.0,2126.0,,,,,5981.0,,,,,550.0,,,,,4827.0,,,,,,255.0,,,
,,,,,,141.0,2110.0,,,2100.0,,,,,,,,,,168.0,,,,179.0,,395.0,,,,,144.0,,2679.0,,,473.0,,,,,,,,,3037.0,5170.0,,,,,1268.0,,1170.0,2131.0,1298.0,,,638.0,,10700.0,,,,,394.0,,1516.0,,,,,,,,,,,,
,,,,298.0,,120.0,1581.0,13124.0,,3210.0,,,,,,,,,,120.0,,3433.0,,121.0,,390.0,3424.0,,,,120.0,,1510.0,,,290.0,,498.0,,,1518.0,,,,1819.0,,,,3409.0,,578.0,,956.0,6466.0,1518.0,,8573.0,245.0,,,,,,1190.0,386.0,661.0,924.0,,159.0,10792.0,,,,,,155.0,,2465.0,
,,,930.0,,,318.0,1409.0,14138.0,,3305.0,,,,,,,,,,178.0,,,14350.0,285.0,,452.0,6070.0,,,,201.0,,1481.0,7922.0,,398.0,1643.0,470.0,,,,,,,1903.0,,,,3103.0,11870.0,962.0,,510.0,3514.0,1246.0,,7563.0,306.0,,7519.0,,,1560.0,1310.0,325.0,279.0,1284.0,,,1534.0,3742.0,1062.0,3575.0,,,140.0,32878.0,2312.0,
,,758.0,,1117.0,,295.0,2006.0,14473.0,,2579.0,,,,,,,,1866.0,,339.0,,,,430.0,,585.0,,,,,349.0,,2552.0,6188.0,,383.0,1737.0,365.0,,,2518.0,,,,2225.0,,,,4035.0,12737.0,1305.0,,1024.0,2695.0,1280.0,,8604.0,436.0,,6942.0,,,1810.0,2003.0,421.0,520.0,1980.0,,41.0,2395.0,2018.0,,2435.0,,,204.0,33849.0,3567.0,
,,,,,,194.0,1022.0,,,3352.0,,,,,,,,,,227.0,,,,318.0,,537.0,,257.0,,,278.0,,1644.0,6905.0,,428.0,,734.0,,,,,,,3148.0,,,,,,,,629.0,2427.0,1846.0,,,421.0,,,,,,,481.0,276.0,,,281.0,9408.0,,,,,,277.0,,2898.0,
,,,1355.0,,,214.0,1326.0,14729.0,,2576.0,,,,,,,,1279.0,,283.0,,,13471.0,328.0,,539.0,7236.0,,,2232.0,178.0,,2188.0,,,326.0,1087.0,300.0,2243.0,,2034.0,,,,2822.0,6146.0,,,3771.0,,733.0,,404.0,,2033.0,,6837.0,387.0,2125.0,6930.0,,,1479.0,2381.0,362.0,594.0,1753.0,,179.0,7916.0,3526.0,,2509.0,,,190.0,30267.0,3011.0,
,,,,,,193.0,1544.0,,,,,,,,,,,,,190.0,,,,201.0,,478.0,,,,,181.0,,2210.0,,,443.0,1720.0,,,,,,,,3093.0,,,,2913.0,,,,524.0,,1793.0,,,499.0,,,,,,,645.0,,,,,,,,,,,123.0,,,
,,,1465.0,,,223.0,1273.0,,,3130.0,,,,,,,1068.0,,,257.0,,,,298.0,,476.0,,,,,225.0,,1677.0,,,307.0,1201.0,321.0,,,,,,,3509.0,4121.0,,,3236.0,,1209.0,,713.0,3293.0,,,10875.0,456.0,,,,,,,447.0,486.0,1789.0,,,3105.0,,,,,,202.0,,,
,,,,,,256.0,870.0,,,3574.0,,,,,,,,,,279.0,,,,299.0,,509.0,,,,,242.0,,2084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.0,,,,,,,,,,,,,,
,,,,,,314.0,1913.0,,,2395.0,,,,,,,,,,317.0,,4355.0,,332.0,,658.0,4768.0,,,,320.0,,2879.0,,,320.0,,465.0,,,2699.0,,,,2662.0,,,,,9895.0,,,485.0,2085.0,,,8740.0,467.0,,7145.0,,,,1892.0,639.0,,,,,7345.0,,,,,,166.0,42205.0,3551.0,
